Filename,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR
Eva_29-10-24-11_30_06.wav,140.75807494472758,170.50772321792633,67.66133079406104,0.0033264474356057023,2.3636982811237723e-05,0.0017414982515117276,0.0017714585413104661,0.005224494754535183,0.02200383862017413,0.21083917280209552,0.01201089060877491,0.014413694043421306,0.01743839152393243,0.03603267182632473,0.012115,20.958
Eva_29-10-24-11_30_25.wav,161.69612421903656,188.8659465146696,75.06295701105795,0.004318933580745271,2.6684994167033694e-05,0.0022922211250565134,0.002201651083346287,0.00687666337516954,0.024755195209698263,0.22669681831512434,0.013447952814280335,0.015537075659838643,0.019448907984028665,0.040343858442841,0.027765,19.742
Eva_29-10-24-11_30_46.wav,198.50793199303357,211.75722468201334,191.2225571864091,0.0027480026102602952,1.3843068124883113e-05,0.0016651816752201762,0.0015209399695457323,0.004995545025660528,0.024886784138394576,0.21656696140461426,0.014082295569629715,0.015601347476986488,0.018444882317077187,0.042246886708889146,0.009306,21.846
Eva_29-10-24-11_31_05.wav,201.22363624193673,207.0352192382201,157.81959850645603,0.0022205095583781136,1.1035544363510234e-05,0.0012552908471355618,0.0012499836380038289,0.0037658725414066855,0.013730159057247367,0.12088004697426186,0.006816362886113814,0.00917789491076151,0.01196761994477089,0.02044908865834144,0.005565,25.096
Eva_29-10-24-11_31_28.wav,206.33398539156627,212.73004862430065,194.53157845336602,0.0019820845803722687,9.60584834387228e-06,0.001136312538826699,0.0011524264104648674,0.003408937616480097,0.013091544969586887,0.11406546344930885,0.0066979913495353455,0.008580983949358507,0.01163884847520337,0.020093974048606036,0.005199,25.513
Eva_29-10-24-11_32_14.wav,157.74848477504563,198.6758519555134,79.97828516399471,0.0034410735757234813,2.182326128872625e-05,0.0019457602747311572,0.0018624034234026282,0.0058372808241934715,0.025071828685495453,0.2197095005124601,0.013890764363147018,0.015999661161632796,0.018792884169284752,0.04167229308944105,0.013657,20.502
Evelyn_13-10-24-00_12_41.wav,184.9537050586937,197.7386468477335,168.40889375441344,0.0025583498929370252,1.3832510473321415e-05,0.0013773072853144747,0.0014793844514672699,0.004131921855943424,0.03412527145566436,0.30744135057883004,0.018096673762253792,0.02157619116566005,0.026890540905572875,0.05429002128676137,0.011381,21.598
Evelyn_24-10-24-03_27_36.wav,173.4099679266594,180.55787459813655,160.74606442395557,0.002346221867579429,1.352848694626235e-05,0.0012670834179555372,0.001290962582179344,0.0038012502538666117,0.029571512082867454,0.26162450987005154,0.01635076041852716,0.01828081896794792,0.021713096369098538,0.049052281255581476,0.007657,22.949
Evelyn_28-10-24-01_23_13.wav,176.54725930663207,186.70193868867528,75.77378317564094,0.002215324334840713,1.2546906979530747e-05,0.0011096279869188778,0.0012086261766946847,0.0033288839607566335,0.02540050412957461,0.22566794700436124,0.013660171589280984,0.01579104424004759,0.019502837030224388,0.04098051476784295,0.011756,23.208
Evq_11-11-24-22_18_34.wav,147.71188730929043,158.36674915213723,134.82328406582516,0.006401046628410121,4.3356095058014414e-05,0.0036748972450061108,0.0031502305918232935,0.011024691735018332,0.03221759813029659,0.2793797481645282,0.017110236392558976,0.019386510583084715,0.025327100049654855,0.05133070917767693,0.041480,16.330
Evq_11-11-24-22_18_55.wav,158.07829136647732,185.23360646412783,76.55266929652242,0.004756589625170489,3.0104669724533062e-05,0.0027824502138671554,0.0026477624790642736,0.008347350641601466,0.026088824234599316,0.2441811620529766,0.01388742264920856,0.016341139141750487,0.021287538942899198,0.04166226794762568,0.027890,18.227
Evq_11-11-24-22_19_16.wav,168.12109115358828,176.78590634820586,159.44588698009824,0.005221632427561687,3.105753845559018e-05,0.003188084159124822,0.00272439762628202,0.009564252477374467,0.02165102654485263,0.18917624183186307,0.011707257073214013,0.01357859542754199,0.01714728453116696,0.03512177121964204,0.014497,20.072
Evq_11-11-24-22_19_36.wav,171.51803966362127,180.25091863991878,73.96460795721181,0.003951715643332991,2.3042670359250214e-05,0.002381329943478389,0.002071134791080756,0.007143989830435167,0.020953787128575804,0.18508451151581146,0.011490337241482091,0.013321305899023151,0.016460337614509157,0.03447101172444628,0.010739,21.271
Evq_11-11-24-22_20_54.wav,187.63150020530767,193.17119988012945,175.1261766784854,0.0037112884471823143,1.9779517103248253e-05,0.0022144735042571506,0.002041663718698344,0.006643420512771452,0.016891793392200684,0.14936548532267013,0.009260489194334826,0.010386274873107358,0.012758927681701514,0.02778146758300448,0.010250,22.218
Evq_11-11-24-22_21_19.wav,192.6747024528709,199.00897703295507,186.69794527900066,0.0032836229709294947,1.7042336487667903e-05,0.0019053303662912257,0.00174200101821836,0.005715991098873677,0.01885768995657012,0.16510331975484782,0.010415721746693073,0.011233512555624561,0.014630799058377726,0.03124716524007922,0.009057,22.559
Evq_11-11-24-22_21_39.wav,193.4827654996199,198.5801759753747,167.89225151494117,0.0034040642248929372,1.7593673538261147e-05,0.002022823210680652,0.0018276012686029256,0.006068469632041957,0.018028357407729925,0.15745717067798187,0.00951265280797419,0.011320859486078434,0.014583331153805787,0.028537958423922566,0.008936,22.666
Evq_11-11-24-22_21_59.wav,197.81987601813088,200.91653799398213,191.5115434945649,0.001661852660380852,8.400643570461726e-06,0.0009608841890611661,0.0009698887368768834,0.0028826525671834984,0.015407111091502473,0.13486564825798156,0.007950272153935244,0.009637052428842925,0.013127917858425691,0.023850816461805733,0.003380,26.451
Gabriel_06-11-24-02_35_43.wav,151.55924979217232,165.97168697760705,78.48648199906317,0.005073810013211572,3.3485898793741244e-05,0.002980355527544309,0.00266256617942327,0.008941066582632927,0.03784566725635924,0.3471429017008403,0.020659821461707528,0.024843315723108373,0.02698182916938127,0.061979464385122585,0.018698,19.549
Jennifer_06-11-24-03_54_35.wav,131.33471020574228,193.88753639713408,75.4988749069276,0.009438624309316114,7.182501549938908e-05,0.005170524544764875,0.005398029489929705,0.015511573634294624,0.03716942117502747,0.3517293551769991,0.01945212506985954,0.02386671194267048,0.03190661672808372,0.05835637520957862,0.054279,16.178
